Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P22204	DBF2_YEAST	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Protein kinase superfamily, Ser/Thr protein kinase family						Active site (1); Binding site (1); Chain (1); Domain (2); Erroneous initiation (1); Modified residue (5); Nucleotide binding (1); Sequence conflict (3)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body. Bud neck. Nucleus. Note=Localizes on spindle ole body (SPB) for much of the cell cycle and migrates from there to the bud neck in late mitosis. SPB localization during anaphase coincides with activation kinase activity and depends on TEM1 and CDC15. In absence of BUB2, localizes to SPB in cell cycle stages other than anaphase and telophase.			
P32330	DGR2_YEAST	2-deoxy-glucose resistant protein 2	852	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	WD repeat DGR2 family						Chain (1); Modified residue (1); Repeat (6)				
P40059	DOT6_YEAST	Transcriptional regulatory protein DOT6 (Disrupter of telomere silencing protein 6) (PAC-binding factor 2)	670	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	DOT6 family	DNA_BIND 94..117;  /note="H-T-H motif";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00625"					Chain (1); DNA binding (1); Domain (1); Modified residue (5)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.			
Q00955	ACAC_YEAST	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	2233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV			METAL 365;  /note="Manganese 1";  /evidence="ECO:0000250"; METAL 379;  /note="Manganese 1";  /evidence="ECO:0000250"; METAL 379;  /note="Manganese 2";  /evidence="ECO:0000250"; METAL 381;  /note="Manganese 2";  /evidence="ECO:0000250"	PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1.			Active site (1); Beta strand (97); Binding site (4); Chain (1); Domain (5); Helix (97); Initiator methionine (1); Metal binding (4); Modified residue (7); Mutagenesis (7); Nucleotide binding (1); Region (2); Sequence conflict (3); Turn (23)	SUBCELLULAR LOCATION: Cytoplasm. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side.			
P16661	ALG1_YEAST	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Glycosyltransferase group 1 family, Glycosyltransferase 33 subfamily			PATHWAY: Protein modification; protein glycosylation.			Chain (1); Glycosylation (3); Motif (1); Mutagenesis (5); Region (1); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.		TOPO_DOM 1..7;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 35..449;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 8..34;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q04516	AIM33_YEAST	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Flavoprotein pyridine nucleotide cytochrome reductase family						Chain (1); Domain (1); Topological domain (4); Transmembrane (3)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.		TOPO_DOM 1..14;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 36..41;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 63..179;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 201..312;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 15..35;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 42..62;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 180..200;  /note="Helical";  /evidence="ECO:0000255"
P38116	ARL1_YEAST	ADP-ribosylation factor-like protein 1 (Arf-like GTPase 1)	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Small GTPase superfamily, Arf family						Beta strand (7); Chain (1); Helix (8); Initiator methionine (1); Lipidation (1); Nucleotide binding (3); Turn (3)	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:12620188, ECO:0000269|PubMed:12620189}.			
P19880	AP1_YEAST	AP-1-like transcription factor YAP1 (Phenanthroline resistance protein PAR1) (Pleiotropic drug resistance protein PDR4)	650	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	BZIP family, YAP subfamily						Beta strand (2); Chain (1); Compositional bias (2); Disulfide bond (6); Domain (1); Frameshift (1); Helix (5); Modified residue (7); Motif (3); Mutagenesis (5); Region (6); Sequence conflict (3); Turn (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11274141, ECO:0000269|PubMed:9130715, ECO:0000269|PubMed:9857197}. Cytoplasm {ECO:0000269|PubMed:11274141, ECO:0000269|PubMed:9130715, ECO:0000269|PubMed:9857197}. Note=Oxidized YAP1 is found predominantly in the nucleus, while reduced YAP1 is continuously exported to the cytoplasm by CRM1/exportin 1. Nuclear import requires the karyopherin PSE1/KAP121 and is independent on YAP1 oxidation state. {ECO:0000269|PubMed:11274141, ECO:0000269|PubMed:9130715, ECO:0000269|PubMed:9857197}.			
Q04749	AVO2_YEAST	Target of rapamycin complex 2 subunit AVO2 (TORC2 subunit AVO2) (Adheres voraciously to TOR2 protein 2)	426	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII							Chain (1); Modified residue (2); Repeat (5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12631735}; Peripheral membrane protein {ECO:0000269|PubMed:12631735}; Cytoplasmic side {ECO:0000269|PubMed:12631735}. Vacuole membrane {ECO:0000269|PubMed:12631735}; Peripheral membrane protein {ECO:0000269|PubMed:12631735}; Cytoplasmic side {ECO:0000269|PubMed:12631735}.			
P53946	ARP5_YEAST	Actin-related protein 5 (Actin-like protein ARP5)	755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Actin family						Chain (1); Cross-link (1); Modified residue (3)	SUBCELLULAR LOCATION: Nucleus.			
Q05029	BCH1_YEAST	Protein BCH1 (BUD7 and CHS6 homolog 1)	724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	CHAPS family						Beta strand (11); Chain (1); Helix (29); Region (1); Turn (3)	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16498409, ECO:0000269|PubMed:17000877}; Peripheral membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16498409, ECO:0000269|PubMed:17000877}. Note=Trans-Golgi network location requires interaction with CHS5 and with myristoylated GTP-bound ARF1 for the recruitment to the membranes.			
P53968	CRZ1_YEAST	Transcriptional regulator CRZ1	678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV							Chain (1); Compositional bias (3); Modified residue (4); Zinc finger (2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10197980}. Cytoplasm {ECO:0000269|PubMed:10197980}.			
P40086	COX15_YEAST	Cytochrome c oxidase assembly protein COX15	486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	COX15/CtaA family						Chain (1); Transmembrane (7)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:9228094}; Multi-pass membrane protein {ECO:0000269|PubMed:9228094}.			TRANSMEM 86..106;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 171..191;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 201..221;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 244..264;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 294..314;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 403..423;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 425..445;  /note="Helical";  /evidence="ECO:0000255"
P32623	CRH2_YEAST	Probable glycosidase CRH2 (EC 3.2.-.-) (Congo red hypersensitive protein 2) (Unknown transcript 2 protein)	467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	Glycosyl hydrolase 16 family						Active site (2); Chain (1); Compositional bias (1); Domain (1); Frameshift (1); Glycosylation (9); Lipidation (1); Propeptide (1); Sequence conflict (9); Signal peptide (1)	SUBCELLULAR LOCATION: Secreted, cell wall. Membrane; Lipid-anchor, GPI-anchor. Note=Covalently-linked GPI-modified cell wall protein (GPI-CWP), localized particularly in chitin-rich areas. Localizes to sites of polarized growth. Found at the incipient bud site, as a ring at the bud neck as the bud grows, and in the septum at the time of cytokinesis. Redistributes uniformly over the cell cortex upon heat stress.			
P25334	CYPR_YEAST	Peptidyl-prolyl cis-trans isomerase CPR4 (PPIase CPR4) (EC 5.2.1.8) (Rotamase)	318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III							Chain (1); Domain (1); Glycosylation (1); Signal peptide (1); Transmembrane (1)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.			TRANSMEM 286..303;  /note="Helical";  /evidence="ECO:0000255"
P46963	CTK3_YEAST	CTD kinase subunit gamma (CTDK-I gamma subunit) (CTD kinase 32 kDa subunit) (CTD kinase subunit 3)	296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	CTK3 family						Chain (1); Modified residue (1); Mutagenesis (1); Sequence conflict (5)	SUBCELLULAR LOCATION: Nucleus, nucleolus. Cytoplasm.			
P49573	CTR1_YEAST	Copper transport protein CTR1 (Copper transporter 1)	406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Chain (1); Compositional bias (2); Cross-link (1); Glycosylation (2); Modified residue (4); Region (1); Repeat (3); Topological domain (1); Transmembrane (2)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 272..406;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 153..173;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 251..271;  /note="Helical";  /evidence="ECO:0000255"
P43595	DCV1_YEAST	Protein DCV1 (Demands CDC28 kinase activity for viability protein 1)	202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI							Chain (1); Signal peptide (1); Transmembrane (3)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.			TRANSMEM 91..107;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 137..155;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 168..189;  /note="Helical";  /evidence="ECO:0000255"
Q08558	DCI1_YEAST	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase (EC 5.3.3.-)	271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Enoyl-CoA hydratase/isomerase family			PATHWAY: Lipid metabolism; fatty acid beta-oxidation.			Active site (1); Binding site (1); Chain (1); Motif (1); Region (1)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:10381339, ECO:0000269|PubMed:10455114, ECO:0000269|PubMed:10639339}.			
Q12123	DCS2_YEAST	Inactive diphosphatase DCS2 (Histidine triad protein) (Protein Dcs2p)	353	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	HIT family						Chain (1); Erroneous initiation (2); Initiator methionine (1); Modified residue (1); Motif (1)	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, perinuclear region. Cytoplasm, P-body. Note=Predominantly cytoplasmic. Localizes close to the perinuclear space before the diauxic growth shift. Recruited to the P-body after the post-diauxic growth shift. Colocalizes with the decapping activator protein LSM1 at P-body.			
P35732	DEF1_YEAST	RNA polymerase II degradation factor 1 (RRM3-interacting protein 1)	738	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	DEF1 family						Chain (1); Compositional bias (3); Domain (1); Modified residue (5)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15863512}. Chromosome, telomere {ECO:0000269|PubMed:15863512}.			
Q03063	DIG1_YEAST	Down-regulator of invasive growth 1 (Regulator of STE12 protein 1) (Regulator of sterile twelve 1)	452	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Chain (1); Modified residue (9); Region (1)	SUBCELLULAR LOCATION: Nucleus.			
Q05031	DFG5_YEAST	Mannan endo-1,6-alpha-mannosidase DFG5 (EC 3.2.1.101) (Endo-alpha-1->6-D-mannanase DFG5)	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Glycosyl hydrolase 76 family						Chain (1); Glycosylation (9); Lipidation (1); Propeptide (1); Signal peptide (1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12421307}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12421307}. Note=GPI-anchored plasma membrane protein (GPI-PMP).			
P13663	DHAS_YEAST	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Aspartate-semialdehyde dehydrogenase family			PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 2/4.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5.			Active site (2); Binding site (5); Chain (1); Modified residue (3); Nucleotide binding (4)				
Q04949	DYN3_YEAST	Cytoplasmic dynein intermediate light chain DYN3 (Dynein protein 3)	312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Dynein light intermediate chain DYN3 family						Chain (1)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15642746}. Note=Concentrates at motile dots in the cytoplasm corresponding to the plus ends of cytoplasmic microtubules.			
P40553	DOT5_YEAST	Peroxiredoxin DOT5 (Prx) (EC 1.11.1.24) (Disrupter of telomere silencing protein 5) (Nuclear thiol peroxidase) (nTPx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin DOT5)	215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	Peroxiredoxin family, BCP/PrxQ subfamily				BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5. {ECO:0000269|PubMed:10681558};		Active site (1); Beta strand (9); Chain (1); Disulfide bond (1); Domain (1); Helix (5); Mutagenesis (2); Turn (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10681558, ECO:0000269|PubMed:12925864, ECO:0000269|PubMed:14562095}. Chromosome, telomere {ECO:0000305}.			
P32317	AFG1_YEAST	Protein AFG1	509	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	AFG1 ATPase family						Chain (1); Frameshift (2); Nucleotide binding (1); Sequence conflict (5)				
P53090	ARO8_YEAST	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)	500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Class-I pyridoxal-phosphate-dependent aminotransferase family			PATHWAY: Amino-acid biosynthesis; L-phenylalanine biosynthesis; L-phenylalanine from phenylpyruvate (ArAT route): step 1/1.; PATHWAY: Amino-acid biosynthesis; L-tyrosine biosynthesis; L-tyrosine from (4-hydroxyphenyl)pyruvate: step 1/1.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 6/6.; PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via AAA pathway; L-alpha-aminoadipate from 2-oxoglutarate: step 5/5.			Beta strand (14); Chain (1); Helix (23); Modified residue (1); Turn (5)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P39524	ATC3_YEAST	Probable phospholipid-transporting ATPase DRS2 (EC 7.6.2.1)	1355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily						Active site (1); Beta strand (51); Chain (1); Helix (50); Modified residue (1); Sequence conflict (12); Topological domain (11); Transmembrane (10); Turn (20)	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:12372257, ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:12372257, ECO:0000269|PubMed:14562095}.		TOPO_DOM 1..221;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 243..246;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 268..449;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 471..490;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 512..1012;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 1034..1043;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 1065..1094;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 1116..1131;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 1153..1161;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 1183..1202;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 1224..1355;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 222..242;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 247..267;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 450..470;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 491..511;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1013..1033;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1044..1064;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1095..1115;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1132..1152;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1162..1182;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1203..1223;  /note="Helical";  /evidence="ECO:0000255"
P38182	ATG8_YEAST	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	ATG8 family						Beta strand (6); Chain (1); Helix (4); Lipidation (1); Mutagenesis (12); Propeptide (1); Site (1)	SUBCELLULAR LOCATION: Cytoplasmic vesicle, cvt vesicle membrane; Lipid-anchor. Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor. Vacuole membrane; Lipid-anchor. Note=Membrane-associated through a lipid anchor. This association needs the 2 ubiquitin-like systems required for cytoplasm to vacuole transport and autophagy. ATG18 and ATG21 facilitate the recruitment of ATG8-PE to the site of autophagosome formation and protect it from premature cleavage by ATG4. Localizes to both the isolation membrane (IM) and the vacuole-isolation membrane contact site (VICS) during IM expansion. The IM is a membrane sac generated from the pre-autophagosomal structure that ultimately expands to become a mature autophagosome. Upon starvation, is also recruited to into unique membrane structures near SEC13-containing ER exit sites which lack components of the Golgi apparatus and the endosomes, and which were called a compartments for unconventional protein secretion (CUPS).			
Q06822	ASA1_YEAST	ASTRA-associated protein 1	443	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	WD repeat ASA1 family						Chain (1); Erroneous initiation (1); Repeat (4)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.			
